name,title,tag,link
ddd001.hw001,[DDD/TTT/Q3] Fab bay tool module subsys check,FAB; BAY; TOOL; MODULE; SUBSYS; COMPONENT,https://example.com/proc/DDD/TTT/Q3/fab-deep
ddd002.hw002,[DDD/TTT/Q3] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/TTT/Q3/homing-axis_x
ddd003.hw003,[DDD/TTT/Q3] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/TTT/Q3/jog-axis_x
ddd004.hw004,[DDD/TTT/Q3] Servo AXIS_Y Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/TTT/Q3/homing-axis_y
ddd005.hw005,[DDD/TTT/Q3] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/TTT/Q3/jog-axis_y
ddd006.hw006,[DDD/TTT/Q3] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/TTT/Q3/homing-axis_z
ddd007.hw007,[DDD/TTT/Q3] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/TTT/Q3/jog-axis_z
ddd008.hw008,[DDD/TTT/Q3] Servo AXIS_R Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/TTT/Q3/homing-axis_r
ddd009.hw009,[DDD/TTT/Q3] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/TTT/Q3/jog-axis_r
ddd010.hw010,[DDD/TTT/Q3] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/TTT/Q3/homing-axis_t
ddd011.hw011,[DDD/TTT/Q3] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/TTT/Q3/jog-axis_t
ddd012.hw012,[DDD/TTT/Q3] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/DDD/TTT/Q3/stepper-feed_a
ddd013.hw013,[DDD/TTT/Q3] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/DDD/TTT/Q3/stepper-feed_b
ddd014.hw014,[DDD/TTT/Q3] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/DDD/TTT/Q3/stepper-feed_c
ddd015.hw015,[DDD/TTT/Q3] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/DDD/TTT/Q3/spindle-sp_01
ddd016.hw016,[DDD/TTT/Q3] Spindle SP_02 Speed Tune — full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_02,https://example.com/proc/DDD/TTT/Q3/spindle-sp_02
ddd017.hw017,[DDD/TTT/Q3] Spindle SP_03 Speed Tune,MOTOR; SPINDLE; SP_03,https://example.com/proc/DDD/TTT/Q3/spindle-sp_03
ddd018.hw018,[DDD/TTT/Q3] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/DDD/TTT/Q3/prox-01
ddd019.hw019,[DDD/TTT/Q3] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/DDD/TTT/Q3/prox-02
ddd020.hw020,[DDD/TTT/Q3] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/DDD/TTT/Q3/prox-03
ddd021.hw021,[DDD/TTT/Q3] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/DDD/TTT/Q3/prox-04
ddd022.hw022,[DDD/TTT/Q3] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/DDD/TTT/Q3/prox-05
ddd023.hw023,[DDD/TTT/Q3] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/DDD/TTT/Q3/prox-06
ddd024.hw024,[DDD/TTT/Q3] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/DDD/TTT/Q3/prox-07
