name,title,tag,link
bbb001.hw001,"[BBB/TTT/Q2] Wafer load sequence — extended procedure including pre-check, main operation, and recovery steps",WAFER; HANDLER; LOAD,https://example.com/proc/BBB/TTT/Q2/wafer-load
bbb002.hw002,[BBB/TTT/Q2] Wafer unload sequence,WAFER; HANDLER; UNLOAD,https://example.com/proc/BBB/TTT/Q2/wafer-unload
bbb003.hw003,[BBB/TTT/Q2] Wafer align on chuck — detailed workflow for production environment with sign-off requirements,WAFER; HANDLER; ALIGN; STAGE; CHUCK,https://example.com/proc/BBB/TTT/Q2/wafer-align
bbb004.hw004,[BBB/TTT/Q2] Stage heat soak,WAFER; STAGE; HEAT,https://example.com/proc/BBB/TTT/Q2/stage-heat
bbb005.hw005,[BBB/TTT/Q2] Stage cool down,WAFER; STAGE; COOL,https://example.com/proc/BBB/TTT/Q2/stage-cool
bbb006.hw006,[BBB/TTT/Q2] Etch chamber A recipe — operator guide with parameter reference and troubleshooting appendix,PROCESS; ETCH; CHAMBER_A,https://example.com/proc/BBB/TTT/Q2/etch-a
bbb007.hw007,[BBB/TTT/Q2] Etch chamber B recipe,PROCESS; ETCH; CHAMBER_B,https://example.com/proc/BBB/TTT/Q2/etch-b
bbb008.hw008,[BBB/TTT/Q2] Deposition layer 1,PROCESS; DEP; LAYER_1,https://example.com/proc/BBB/TTT/Q2/dep-l1
bbb009.hw009,[BBB/TTT/Q2] Deposition layer 2,PROCESS; DEP; LAYER_2,https://example.com/proc/BBB/TTT/Q2/dep-l2
bbb010.hw010,[BBB/TTT/Q2] Wet clean cycle,PROCESS; CLEAN; WET,https://example.com/proc/BBB/TTT/Q2/clean-wet
bbb011.hw011,[BBB/TTT/Q2] CD measurement routine — detailed workflow for production environment with sign-off requirements,METROLOGY; CD,https://example.com/proc/BBB/TTT/Q2/metro-cd
bbb012.hw012,[BBB/TTT/Q2] Overlay check,METROLOGY; OVERLAY,https://example.com/proc/BBB/TTT/Q2/metro-ol
bbb013.hw013,[BBB/TTT/Q2] Defect review scan,METROLOGY; DEFECT,https://example.com/proc/BBB/TTT/Q2/metro-def
bbb014.hw014,[BBB/TTT/Q2] Transfer arm pick,TRANSFER; ARM; PICK,https://example.com/proc/BBB/TTT/Q2/xfer-pick
bbb015.hw015,[BBB/TTT/Q2] Transfer arm place,TRANSFER; ARM; PLACE,https://example.com/proc/BBB/TTT/Q2/xfer-place
bbb016.ot101,[BBB/TTT/Q2] SPC chart review,YIELD; SPC,https://example.com/proc/BBB/TTT/Q2/yield-spc
bbb017.ot102,[BBB/TTT/Q2] OOC investigation,YIELD; OOC,https://example.com/proc/BBB/TTT/Q2/yield-ooc
bbb018.ot103,[BBB/TTT/Q2] Rework disposition,YIELD; REWORK,https://example.com/proc/BBB/TTT/Q2/yield-rw
bbb019.ot104,[BBB/TTT/Q2] Facility gas alarm,FACILITY; FAC_GAS,https://example.com/proc/BBB/TTT/Q2/fac-gas
bbb020.ot105,[BBB/TTT/Q2] Escalation L2 handoff,ESCALATION; L2,https://example.com/proc/BBB/TTT/Q2/esc-l2
bbb021.ot106,[BBB/TTT/Q2] Operator quick reference,REST,https://example.com/proc/BBB/TTT/Q2/rest-bbb
bbb.shared.homing_all,[BBB/TTT/Q2] Shared all-axis homing,MOTOR; SERVO; AXIS_X; AXIS_Y; AXIS_Z,https://example.com/proc/BBB/TTT/Q2/shared-homing
bbb.shared.emergency_recovery,[BBB/TTT/Q2] 비상 정지 복구 가이드,REST,https://example.com/proc/BBB/TTT/Q2/shared-estop
bbb.shared.daily_check,[BBB/TTT/Q2] Shared daily operator check,MAINTENANCE; CALIBRATION; DAILY,https://example.com/proc/BBB/TTT/Q2/shared-daily
